name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Peter Schuster,---,125,---,699,30-34,40,AT,AUT,---,---,00:30:42,1.9 km,00:04:15,02:35:17,90.1 km,00:01:55,01:24:59,21.1 km,04:37:08
Christian Schütz,---,---,DNS,1869,40-44,---,Vienna,AUT,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Markus Schützelhofer,---,542,---,701,30-34,---,Kärnten / Carinthia,AUT,---,---,00:38:24,1.9 km,00:04:01,02:39:51,90.1 km,00:02:06,01:40:26,21.1 km,05:04:48
Christian Schwab,---,---,DNS,702,30-34,---,Vienna,AUT,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Gerald Schwab,---,759,---,1870,40-44,---,Tirol / Tyrol,AUT,---,---,00:36:57,1.9 km,00:05:00,02:44:42,90.1 km,00:02:42,01:46:00,21.1 km,05:15:21
Stephan Schwabl,---,1641,---,851,25-29,---,Vienna,AUT,---,---,00:39:59,1.9 km,00:04:40,03:06:46,90.1 km,00:02:32,02:18:28,21.1 km,06:12:25
Ernst Schwaiger,---,396,---,1442,35-39,---,---,AUT,---,---,00:33:09,1.9 km,00:05:14,02:47:48,90.1 km,00:02:22,01:28:14,21.1 km,04:56:47
Hermann Schwaiger,---,64,---,703,30-34,38,---,AUT,---,---,00:27:52,1.9 km,00:02:24,02:27:43,90.1 km,00:01:31,01:27:31,21.1 km,04:27:01
Klaus Schwaiger,---,372,---,1871,40-44,50,AT,AUT,---,---,00:37:48,1.9 km,00:03:39,02:42:06,90.1 km,00:01:17,01:30:40,21.1 km,04:55:30
Georg Schwandl,---,315,---,1872,40-44,50,AT,AUT,---,---,00:32:02,1.9 km,00:02:48,02:41:08,90.1 km,00:01:55,01:33:53,21.1 km,04:51:46
Andreas Schwarz,---,1149,---,704,30-34,39,NÖ,AUT,---,---,00:44:53,1.9 km,00:03:34,02:55:18,90.1 km,00:01:52,01:48:02,21.1 km,05:33:39
Peter Schwarz,---,477,---,705,30-34,41,AT,AUT,---,---,00:40:54,1.9 km,00:03:24,02:44:23,90.1 km,00:01:54,01:30:24,21.1 km,05:00:59
Hannes Schwarzecker,---,1632,---,339,25-29,31,AT,AUT,---,---,00:54:32,1.9 km,00:09:12,03:06:21,90.1 km,00:02:39,01:58:44,21.1 km,06:11:28
Christoph Schwarzlmüller,---,1675,---,148,18-24,---,Oberösterreich / Upper Austria,AUT,---,---,00:50:55,1.9 km,00:06:01,03:06:30,90.1 km,00:02:58,02:11:45,21.1 km,06:18:09
Johann Schwarzott,---,284,---,1443,35-39,44,---,AUT,---,---,00:33:24,1.9 km,00:03:35,02:36:18,90.1 km,00:01:43,01:34:54,21.1 km,04:49:54
Anton Schweighofer,---,853,---,706,30-34,---,---,AUT,---,---,00:44:34,1.9 km,00:04:04,02:39:36,90.1 km,00:01:55,01:49:17,21.1 km,05:19:26
Christian Schweighofer,---,1575,---,2175,45-49,52,---,AUT,---,---,00:42:00,1.9 km,00:06:24,03:04:31,90.1 km,00:04:22,02:06:02,21.1 km,06:03:19
Gabriela Schweighofer,---,1261,---,938,40-44,---,Tirol / Tyrol,AUT,---,---,00:42:19,1.9 km,00:04:44,02:56:24,90.1 km,00:03:13,01:52:45,21.1 km,05:39:25
Georg Schweighofer,---,116,---,1873,40-44,49,AT,AUT,---,---,00:35:46,1.9 km,00:04:04,02:29:41,90.1 km,00:02:43,01:23:51,21.1 km,04:36:05
Helmut Schweighofer,---,---,DNF,2176,45-49,54,---,AUT,---,---,00:49:53,1.9 km,00:04:35,---,90.1 km,03:33:47,---,21.1 km,DNF
Kurt Schwingenschuh,---,414,---,1874,40-44,50,AT,AUT,---,---,00:33:32,1.9 km,00:03:12,02:44:37,90.1 km,00:01:47,01:34:13,21.1 km,04:57:21
Ulrike Schwoellberger,---,892,---,833,30-34,37,---,AUT,---,---,00:36:01,1.9 km,00:03:02,02:55:48,90.1 km,00:02:10,01:44:18,21.1 km,05:21:19
David Scott,---,---,DNS,26,PRO,---,Buckinghamshire,GBR,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Michael Sebekovsky,---,993,---,707,30-34,---,Steiermark / Styria,AUT,---,---,00:41:24,1.9 km,00:05:23,02:49:16,90.1 km,00:02:51,01:46:58,21.1 km,05:25:52
Peter Sedlak,---,1271,---,1875,40-44,51,AT,AUT,---,---,00:41:55,1.9 km,00:07:37,02:49:31,90.1 km,00:03:27,01:57:12,21.1 km,05:39:42
Joachim Sedlmeir,---,313,---,340,25-29,---,Bavaria (Bayern),DEU,---,---,00:32:47,1.9 km,00:03:00,02:35:19,90.1 km,00:02:28,01:38:12,21.1 km,04:51:46
Iva Sego,---,1567,---,834,30-34,---,---,HRV,---,---,00:35:12,1.9 km,00:06:35,03:24:46,90.1 km,00:03:08,01:52:26,21.1 km,06:02:07
Knut H. Seidel,---,1035,---,1444,35-39,---,Bavaria (Bayern),DEU,---,---,00:37:15,1.9 km,00:06:12,02:58:04,90.1 km,00:04:13,01:42:17,21.1 km,05:28:01
Christian Seidl,---,66,---,1445,35-39,42,---,AUT,---,---,00:28:59,1.9 km,00:02:13,02:28:03,90.1 km,00:01:27,01:27:03,21.1 km,04:27:45
Jürgen Seidl,---,1614,---,1446,35-39,46,---,AUT,---,---,00:40:59,1.9 km,00:05:21,03:08:15,90.1 km,00:02:35,02:12:11,21.1 km,06:09:21
Wolfgang Seidl,---,69,---,708,30-34,40,---,AUT,---,---,00:31:52,1.9 km,00:02:40,02:30:15,90.1 km,00:01:36,01:21:30,21.1 km,04:27:53
