name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Boris Stein,1,1,1,4,PRO,31,---,DEU,---,3500,00:27:19,1.9 km,00:02:12,02:15:51,90.1 km,00:00:55,01:16:51,21.1 km,04:03:08
Andreas Raelert,2,2,2,43,PRO,40,---,DEU,---,3465,00:25:09,1.9 km,00:02:39,02:22:30,90.1 km,00:01:00,01:13:45,21.1 km,04:05:03
Ruedi Wild,3,3,3,39,PRO,34,---,CHE,---,3432,00:25:16,1.9 km,00:02:37,02:23:58,90.1 km,00:01:25,01:13:37,21.1 km,04:06:53
Antony Costes,4,4,4,40,PRO,26,---,FRA,---,3421,00:25:07,1.9 km,00:02:06,02:24:39,90.1 km,00:00:58,01:14:40,21.1 km,04:07:30
Kevin Collington,5,5,5,9,PRO,31,FL,USA,---,3379,00:25:05,1.9 km,00:02:46,02:24:19,90.1 km,00:01:01,01:16:39,21.1 km,04:09:50
Manuel Küng,6,6,6,79,PRO,29,CH,CHE,---,3347,00:24:20,1.9 km,00:02:21,02:25:05,90.1 km,00:01:10,01:18:40,21.1 km,04:11:36
Andreas Dreitz,7,7,7,82,PRO,27,DE,DEU,---,3331,00:26:59,1.9 km,00:02:22,02:22:23,90.1 km,00:01:29,01:19:16,21.1 km,04:12:29
Andreas Giglmayr,8,8,8,90,PRO,32,Intl State,AUT,---,3324,00:25:12,1.9 km,00:02:33,02:28:46,90.1 km,00:01:22,01:15:01,21.1 km,04:12:54
Albert Moreno Molins,9,9,9,25,PRO,26,ES,ESP,---,3315,00:27:05,1.9 km,00:02:22,02:27:00,90.1 km,00:01:23,01:15:33,21.1 km,04:13:23
Stenn Goetstouwers,10,10,10,14,PRO,24,BE,BEL,---,3272,00:25:39,1.9 km,00:02:22,02:28:31,90.1 km,00:01:14,01:18:02,21.1 km,04:15:48
Michael Van Cleven,11,11,11,44,PRO,27,Intl State,BEL,---,3262,00:27:36,1.9 km,00:02:58,02:27:09,90.1 km,00:01:08,01:17:30,21.1 km,04:16:21
Maurice Clavel,12,12,12,81,PRO,28,---,DEU,---,3253,00:24:24,1.9 km,00:02:18,02:25:13,90.1 km,00:06:01,01:18:54,21.1 km,04:16:50
Christian Kramer,13,13,13,46,PRO,33,---,DEU,---,3247,00:25:06,1.9 km,00:02:33,02:28:45,90.1 km,00:01:21,01:19:25,21.1 km,04:17:10
Paul Schuster,14,14,14,95,PRO,27,DE,DEU,---,3241,00:25:10,1.9 km,00:02:19,02:28:56,90.1 km,00:01:10,01:19:54,21.1 km,04:17:29
Alessandro Degasperi,15,15,15,2,PRO,35,Italy,ITA,---,3237,00:27:01,1.9 km,00:02:25,02:32:31,90.1 km,00:01:20,01:14:27,21.1 km,04:17:44
Horst Reichel,16,16,16,93,PRO,34,---,DEU,---,3230,00:25:10,1.9 km,00:02:27,02:31:40,90.1 km,00:01:15,01:17:34,21.1 km,04:18:06
Evert Scheltinga,17,17,17,50,PRO,28,Intl State,NLD,---,3206,00:26:22,1.9 km,00:02:07,02:28:00,90.1 km,00:01:12,01:21:45,21.1 km,04:19:26
Richie Cunningham,18,18,18,3,PRO,43,CO,AUS,---,3150,00:27:39,1.9 km,00:02:38,02:31:44,90.1 km,00:01:15,01:19:16,21.1 km,04:22:32
Jonathan Ciavattella,19,19,19,42,PRO,35,Intl State,ITA,---,3141,00:25:11,1.9 km,00:02:40,02:28:20,90.1 km,00:06:43,01:20:10,21.1 km,04:23:04
David Berthou,20,1,20,171,35-39,36,FR,FRA,---,3500,00:26:32,1.9 km,00:02:57,02:32:59,90.1 km,00:01:03,01:20:55,21.1 km,04:24:26
