name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Florian Wiesenhofer,38,11,38,137,25-29,27,AT,AUT,---,3232,---,1.9 km,00:00:01,02:37:07,90.1 km,00:01:31,01:31:08,21.1 km,04:09:47
Roman Malivanek,39,5,39,929,40-44,43,Bohemia,CZE,---,3194,---,1.9 km,00:00:01,02:37:27,90.1 km,00:02:12,01:30:23,21.1 km,04:10:03
Matteo Sclosa,40,8,40,1657,35-39,39,ita,ITA,---,3330,---,1.9 km,00:00:01,02:42:27,90.1 km,00:01:44,01:26:19,21.1 km,04:10:31
Christian Nindl,41,7,41,1675,30-34,31,---,AUT,---,3270,---,1.9 km,00:00:01,02:32:41,90.1 km,00:02:35,01:35:19,21.1 km,04:10:36
Nils Von Münster-Kistner,42,5,42,28,18-24,23,AT,DEU,---,3160,---,1.9 km,00:00:01,02:35:58,90.1 km,00:01:22,01:33:29,21.1 km,04:10:50
Danek Aerden,43,6,43,797,40-44,42,BE,BEL,---,3174,---,1.9 km,00:00:01,02:36:52,90.1 km,00:01:56,01:32:20,21.1 km,04:11:09
Roman Hintersteiner,44,8,44,249,30-34,32,AT,AUT,---,3257,---,1.9 km,00:00:01,02:39:13,90.1 km,00:02:40,01:29:26,21.1 km,04:11:20
Jernej Ivanovi,45,6,45,29,18-24,25,APO,SVN,---,3150,---,1.9 km,00:00:01,02:37:06,90.1 km,00:02:06,01:32:10,21.1 km,04:11:23
Martin Dotti,46,9,46,223,30-34,35,---,CHE,---,3253,---,1.9 km,00:00:01,02:29:45,90.1 km,00:02:23,01:39:24,21.1 km,04:11:33
Michal Kosmowski,47,9,47,507,35-39,---,Malopolska,POL,---,3308,---,1.9 km,00:00:01,02:34:21,90.1 km,00:01:42,01:35:42,21.1 km,04:11:46
Christoph Neubauer,48,12,48,82,25-29,27,AT,AUT,---,3194,---,1.9 km,00:00:01,02:33:09,90.1 km,00:01:48,01:36:57,21.1 km,04:11:55
Aleksandar Grah,49,10,49,1609,30-34,35,ISTRIA,HRV,---,3245,---,1.9 km,00:00:01,02:36:05,90.1 km,00:02:15,01:33:38,21.1 km,04:11:59
Thomas Lamprecht,50,10,50,516,35-39,36,AT,AUT,---,3298,---,1.9 km,00:00:01,02:39:16,90.1 km,00:02:12,01:30:50,21.1 km,04:12:19
Christian Haas,51,13,51,139,25-29,30,AT,ITA,---,3187,---,1.9 km,00:00:01,02:35:35,90.1 km,00:01:47,01:34:56,21.1 km,04:12:19
Fulvio Favaron,52,7,52,20,18-24,24,italia,ITA,---,3132,---,1.9 km,00:00:01,02:43:02,90.1 km,00:01:59,01:27:21,21.1 km,04:12:23
Andrii Onyshchenko,53,14,53,122,25-29,27,AT,UKR,---,3179,---,1.9 km,00:00:01,02:45:09,90.1 km,00:02:17,01:25:16,21.1 km,04:12:43
Dave Kyle,54,6,54,1149,45-49,46,---,USA,---,3083,---,1.9 km,00:00:01,02:33:06,90.1 km,00:01:44,01:37:53,21.1 km,04:12:44
