name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Luke Mathews,39,3,42,472,30-34,31,Lincolnshire,GBR,---,3383,---,1.9 km,00:01:12,02:14:53,90.1 km,00:00:50,01:26:27,21.1 km,03:43:22
Mohamed Belal Aliy,40,4,43,469,30-34,---,DX,ARE,---,3373,---,1.9 km,00:01:25,02:14:48,90.1 km,00:01:14,01:26:28,21.1 km,03:43:55
Dirk Koehler,41,7,44,580,35-39,39,---,DEU,---,3361,---,1.9 km,00:01:27,02:10:28,90.1 km,00:01:19,01:32:05,21.1 km,03:45:19
Stefan Spies,42,2,45,912,45-49,46,---,DEU,---,3407,---,1.9 km,00:01:34,02:12:12,90.1 km,00:01:48,01:30:47,21.1 km,03:46:21
Italo Rizzo Júnior,43,5,46,136,30-34,34,GOIAS,BRA,---,3317,---,1.9 km,00:01:28,02:14:07,90.1 km,00:01:08,01:30:18,21.1 km,03:47:01
Manuel Javier Fernandez,44,6,47,458,30-34,31,---,ESP,---,3313,---,1.9 km,00:01:18,02:14:36,90.1 km,00:00:49,01:30:33,21.1 km,03:47:16
Dave Kyle,45,3,48,114,45-49,46,DXB,USA,---,3380,---,1.9 km,00:01:15,02:12:01,90.1 km,00:01:23,01:33:10,21.1 km,03:47:49
Roberto Cagnati,46,8,49,123,35-39,38,---,CHE,---,3306,---,1.9 km,00:01:26,02:16:02,90.1 km,00:00:53,01:30:02,21.1 km,03:48:23
Ralf Holzer,47,4,50,115,45-49,49,OH,DEU,---,3359,---,1.9 km,00:01:28,02:13:52,90.1 km,00:01:48,01:31:52,21.1 km,03:49:00
Jodie Ann Swallow,4,4,51,52,PRO,35,Other,GBR,---,3125,---,1.9 km,00:01:16,02:12:55,90.1 km,00:00:40,01:34:17,21.1 km,03:49:08
Kristoffer Ahlin,48,2,52,702,40-44,44,---,SWE,---,3247,---,1.9 km,00:01:26,02:15:43,90.1 km,00:01:29,01:31:22,21.1 km,03:50:00
Nicholas Tipper,49,7,53,412,30-34,34,---,GBR,---,3257,---,1.9 km,00:01:15,02:16:38,90.1 km,00:00:55,01:31:33,21.1 km,03:50:21
Fabian Bertoncello,50,3,54,905,40-44,44,VI,ITA,---,3239,---,1.9 km,00:01:08,02:17:15,90.1 km,00:01:10,01:30:53,21.1 km,03:50:26
Christian Stoimaier,51,4,55,144,40-44,43,---,AUT,---,3230,---,1.9 km,00:01:19,02:11:38,90.1 km,00:01:11,01:36:50,21.1 km,03:50:58
Andrew Turner,52,9,56,569,35-39,35,Al markh,GBR,---,3260,---,1.9 km,00:01:22,02:16:12,90.1 km,00:00:49,01:32:35,21.1 km,03:50:58
Adam Tanner,53,10,57,524,35-39,38,---,GBR,---,3256,---,1.9 km,00:01:25,02:18:20,90.1 km,00:01:05,01:30:19,21.1 km,03:51:09
Jacek Podoba,54,5,58,700,40-44,45,Poland,POL,---,3211,---,1.9 km,00:01:18,02:19:56,90.1 km,00:00:51,01:29:56,21.1 km,03:52:01
Christophe Jouffret,55,1,59,928,50-54,51,---,FRA,---,3500,---,1.9 km,00:01:23,02:16:27,90.1 km,00:01:21,01:34:53,21.1 km,03:54:04
Charles Martin,56,21,60,20,PRO,24,---,FRA,---,2729,---,1.9 km,00:01:01,02:16:11,90.1 km,00:01:22,01:35:30,21.1 km,03:54:04
Gregor Studer,57,11,61,109,35-39,36,---,CHE,---,3202,---,1.9 km,00:01:20,02:25:06,90.1 km,00:01:07,01:26:36,21.1 km,03:54:09
Salem Abdulla,58,8,62,470,30-34,34,riffa,ARE,---,3186,---,1.9 km,00:01:26,02:18:08,90.1 km,00:01:13,01:33:32,21.1 km,03:54:19
Riccardo Bertoncello,59,3,63,914,18-24,25,vicenza,ITA,---,3269,---,1.9 km,00:01:12,02:18:46,90.1 km,00:01:14,01:33:36,21.1 km,03:54:48
Andre Segger,60,5,64,782,45-49,46,London,DEU,---,3233,---,1.9 km,00:01:28,02:21:07,90.1 km,00:01:05,01:32:20,21.1 km,03:56:00
Hh Shaikh Nasser Bin Hamad Al Khalifa,61,2,65,13,25-29,29,Riffa,BHR,---,3105,---,1.9 km,00:01:13,02:21:08,90.1 km,00:01:06,01:32:47,21.1 km,03:56:14
Clarke Morton-Shepherd,62,12,66,563,35-39,39,Saar,GBR,---,3162,---,1.9 km,00:01:24,02:15:54,90.1 km,00:01:24,01:37:42,21.1 km,03:56:24
Paul Miles,63,6,67,148,45-49,---,DXB,GBR,---,3216,---,1.9 km,00:01:26,02:22:43,90.1 km,00:01:36,01:31:12,21.1 km,03:56:57
Chris Knight,64,7,68,149,45-49,50,DXB,GBR,---,3215,---,1.9 km,00:01:12,02:16:41,90.1 km,00:01:20,01:37:47,21.1 km,03:57:00
Aday Alvarez Diez De Ulzurrun,65,3,69,366,25-29,28,---,ESP,---,3091,---,1.9 km,00:01:25,02:16:33,90.1 km,00:00:50,01:38:13,21.1 km,03:57:01
Caroline Livesey,5,5,70,59,PRO,37,Intl State,GBR,---,2979,---,1.9 km,00:01:18,02:22:06,90.1 km,00:00:58,01:32:52,21.1 km,03:57:14
Mark Saggers,66,2,71,845,50-54,52,---,GBR,---,3431,---,1.9 km,00:01:30,02:23:49,90.1 km,00:01:38,01:30:56,21.1 km,03:57:53
Gary Elizaga,67,13,72,918,35-39,36,---,PHL,---,3133,---,1.9 km,00:01:43,02:24:10,90.1 km,00:01:08,01:30:58,21.1 km,03:57:59
Ronald Molit,68,9,73,947,30-34,---,Rizal,PHL,---,3115,---,1.9 km,00:01:48,02:22:55,90.1 km,00:02:12,01:31:21,21.1 km,03:58:16
william weymouth,69,10,74,137,30-34,---,Co. Tipperary,IRL,---,3107,---,1.9 km,00:01:20,02:16:10,90.1 km,00:00:50,01:40:24,21.1 km,03:58:44
Jones Ivan,70,8,75,948,45-49,---,---,GBR,---,3184,---,1.9 km,00:01:16,02:22:10,90.1 km,00:01:13,01:34:05,21.1 km,03:58:44
Jon Farley,71,11,76,139,30-34,35,---,GBR,---,3099,---,1.9 km,00:01:15,02:23:55,90.1 km,00:01:13,01:32:45,21.1 km,03:59:08
Henry Clark,72,3,77,150,50-54,54,DXB,GBR,---,3386,---,1.9 km,00:01:25,02:23:23,90.1 km,00:01:00,01:34:33,21.1 km,04:00:21
Bryan Harris,73,9,78,774,45-49,46,SA,GBR,---,3154,---,1.9 km,00:01:58,02:25:46,90.1 km,00:02:04,01:30:36,21.1 km,04:00:24
Leanne Fanoy,6,1,80,157,18-24,19,AUH,NLD,---,3500,---,1.9 km,00:01:40,02:29:19,90.1 km,00:01:34,01:28:35,21.1 km,04:01:08
Pawel Skorupa,75,4,81,360,25-29,28,---,POL,---,3014,---,1.9 km,00:01:29,02:17:23,90.1 km,00:01:07,01:41:20,21.1 km,04:01:19
Martin Flüeler,76,6,82,712,40-44,43,---,CHE,---,3033,---,1.9 km,00:01:35,02:27:13,90.1 km,00:01:16,01:31:50,21.1 km,04:01:54
Thierry Bernard,77,10,83,957,45-49,49,---,FRA,---,3122,---,1.9 km,00:01:26,02:16:37,90.1 km,00:01:54,01:42:14,21.1 km,04:02:11
Yanick Cote,78,7,84,719,40-44,40,Doha,CAN,---,3027,---,1.9 km,00:01:18,02:21:51,90.1 km,00:01:27,01:37:38,21.1 km,04:02:14
Francesco Palermo,79,4,85,847,50-54,52,grosseto,ITA,---,3344,---,1.9 km,00:01:43,02:28:08,90.1 km,00:01:20,01:31:32,21.1 km,04:02:43
Flavien Jourdain,80,14,86,556,35-39,40,France,FRA,---,3044,---,1.9 km,00:01:18,02:25:57,90.1 km,00:01:02,01:34:39,21.1 km,04:02:56
Darren Lang,81,5,87,353,25-29,28,Gauteng,ZAF,---,2984,---,1.9 km,00:01:26,02:26:02,90.1 km,00:01:50,01:33:40,21.1 km,04:02:58
Göksen Çinar,82,12,88,107,30-34,35,Alabama,TUR,---,3026,---,1.9 km,00:01:40,02:23:11,90.1 km,00:00:52,01:37:28,21.1 km,04:03:11
Ralf Schön,83,11,89,954,45-49,47,---,DEU,---,3098,---,1.9 km,00:01:29,02:16:46,90.1 km,00:02:14,01:43:02,21.1 km,04:03:31
Gareth Gallagher,84,13,90,439,30-34,34,fermanagh,IRL,---,3017,---,1.9 km,00:01:42,02:24:52,90.1 km,00:01:15,01:35:52,21.1 km,04:03:41
Daniel Henggeler,85,8,91,711,40-44,44,CH,CHE,---,2998,---,1.9 km,00:01:52,02:25:17,90.1 km,00:01:17,01:35:25,21.1 km,04:03:51
Sitemkar Bolsoy,86,15,92,564,35-39,40,Seyhan,TUR,---,3026,---,1.9 km,00:01:27,02:24:50,90.1 km,00:01:20,01:36:19,21.1 km,04:03:56
Courbon Laurent,87,9,93,669,40-44,44,FR,FRA,---,2993,---,1.9 km,00:01:26,02:19:48,90.1 km,00:01:38,01:41:16,21.1 km,04:04:08
Luis Sanchez Lillo,88,14,94,464,30-34,---,ES,ESP,---,3008,---,1.9 km,00:01:57,02:19:15,90.1 km,00:01:32,01:41:27,21.1 km,04:04:11
Matt Matt,89,15,95,452,30-34,34,DXB,FRA,---,3007,---,1.9 km,00:01:46,02:26:45,90.1 km,00:01:04,01:34:42,21.1 km,04:04:17
Pierre Francois Auguste Fiori,90,4,96,302,18-24,23,---,FRA,---,3089,---,1.9 km,00:01:43,02:32:12,90.1 km,00:01:36,01:29:16,21.1 km,04:04:47
Manuel Huerzeler,91,6,97,135,25-29,30,---,CHE,---,2943,---,1.9 km,00:01:17,02:28:23,90.1 km,00:01:08,01:34:28,21.1 km,04:05:16
Maciej Komorowski,92,16,98,141,35-39,39,Mazowieckie,POL,---,2999,---,1.9 km,00:01:29,02:19:28,90.1 km,00:00:59,01:43:31,21.1 km,04:05:27
Frank Mathews,94,10,100,908,40-44,42,DXB,ZAF,---,2960,---,1.9 km,00:01:28,02:17:30,90.1 km,00:01:52,01:45:08,21.1 km,04:05:58
Melanie Benson,7,1,101,130,30-34,31,NL,CAN,---,3500,---,1.9 km,00:01:25,02:23:30,90.1 km,00:01:51,01:39:13,21.1 km,04:05:59
Lucie Zelenkova,8,6,102,55,PRO,42,---,CZE,---,2820,---,1.9 km,00:01:17,02:30:00,90.1 km,00:00:51,01:33:57,21.1 km,04:06:05
Christopher Mccann,95,12,103,758,45-49,47,---,GBR,---,3049,---,1.9 km,00:01:53,02:26:04,90.1 km,00:01:34,01:36:41,21.1 km,04:06:12
Yousif Zaman,97,16,105,402,30-34,32,Bahrain,BHR,---,2967,---,1.9 km,00:01:25,02:24:53,90.1 km,00:01:29,01:38:41,21.1 km,04:06:28
Sergei Tcarev,98,13,106,895,45-49,48,APO,RUS,---,3042,---,1.9 km,00:01:32,02:27:02,90.1 km,00:01:12,01:36:50,21.1 km,04:06:36
Gyula Szabo,99,11,107,691,40-44,44,Pest,HUN,---,2944,---,1.9 km,00:01:18,02:24:08,90.1 km,00:01:36,01:39:49,21.1 km,04:06:51
Emilio Lomi,100,5,108,898,50-54,52,MI,ITA,---,3261,---,1.9 km,00:01:40,02:27:37,90.1 km,00:01:51,01:36:12,21.1 km,04:07:20
Nick Williamson,101,12,109,708,40-44,41,---,GBR,---,2935,---,1.9 km,00:01:44,02:36:02,90.1 km,00:01:28,01:28:07,21.1 km,04:07:21
Christophe Dicranian,102,17,110,465,30-34,34,---,FRA,---,2949,---,1.9 km,00:01:23,02:17:41,90.1 km,00:01:32,01:46:52,21.1 km,04:07:28
Stephen Anderson,103,13,111,675,40-44,42,Doha,QAT,---,2931,---,1.9 km,00:01:37,02:28:13,90.1 km,00:01:47,01:35:56,21.1 km,04:07:33
Paolo Mussotto,104,6,112,128,50-54,51,italia,ITA,---,3256,---,1.9 km,00:01:21,02:27:18,90.1 km,00:01:26,01:37:32,21.1 km,04:07:37
Timothy Hawes,105,18,113,427,30-34,35,DXB,GBR,---,2944,---,1.9 km,00:01:14,02:24:10,90.1 km,00:00:54,01:41:27,21.1 km,04:07:45
Gareth Hall,107,17,115,527,35-39,37,DXB,AUS,---,2954,---,1.9 km,00:01:28,02:25:46,90.1 km,00:02:01,01:38:43,21.1 km,04:07:58
Gabriel Carnwath,9,2,116,192,30-34,34,---,GBR,---,3455,---,1.9 km,00:01:14,02:37:21,90.1 km,00:01:10,01:28:41,21.1 km,04:08:26
Paul Craig,108,18,117,598,35-39,38,Lancs,GBR,---,2944,---,1.9 km,00:01:27,02:21:49,90.1 km,00:01:10,01:44:05,21.1 km,04:08:31
Christophe Sargis,109,14,118,736,45-49,47,Kingdom of Saudi Arabia,SAU,---,3005,---,1.9 km,00:01:18,02:25:52,90.1 km,00:01:05,01:40:24,21.1 km,04:08:39
Mikel Calahorra,110,19,119,473,30-34,32,RIFFA,BHR,---,2927,---,1.9 km,00:01:16,02:19:01,90.1 km,00:01:27,01:46:58,21.1 km,04:08:42
Abdulla Alsharhan,111,19,120,493,35-39,36,---,KWT,---,2934,---,1.9 km,00:01:36,02:23:27,90.1 km,00:01:40,01:42:19,21.1 km,04:09:02
Ludger Gbiorczyk,112,1,121,863,55-59,56,---,DEU,---,3500,---,1.9 km,00:01:30,02:21:39,90.1 km,00:01:26,01:44:27,21.1 km,04:09:02
