name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Stephanie Barry,---,---,DNS,164,40-44,45,---,USA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Jeremy Bartlett,---,444,---,1442,50-54,58,---,NZL,---,---,00:47:12,1.9 km,00:04:14,02:39:28,90.1 km,00:01:47,02:13:10,21.1 km,05:45:51
Mark Batten,---,---,DNF,1432,50-54,57,---,AUS,---,---,00:35:44,1.9 km,00:02:47,02:23:01,90.1 km,00:01:17,---,21.1 km,DNF
Mike Battersby,---,1018,---,1472,50-54,59,SG,GBR,---,---,01:04:59,1.9 km,00:06:27,02:45:50,90.1 km,00:02:57,02:56:17,21.1 km,06:56:30
Steven Baxter,---,879,---,854,35-39,43,---,AUS,---,---,00:53:50,1.9 km,00:07:18,02:42:56,90.1 km,00:04:50,02:48:10,21.1 km,06:37:04
Damian Baynes,---,106,---,999,40-44,46,SA,AUS,---,---,00:45:46,1.9 km,00:03:30,02:13:20,90.1 km,00:01:45,01:54:56,21.1 km,04:59:17
Joris Beerda,---,631,---,1184,40-44,---,Singapore,NLD,---,---,00:48:28,1.9 km,00:05:16,02:44:52,90.1 km,00:04:52,02:25:31,21.1 km,06:08:59
Christian Beeson,---,830,---,903,40-44,---,Western Australia,AUS,---,---,00:54:39,1.9 km,00:04:36,02:37:30,90.1 km,00:03:36,02:49:20,21.1 km,06:29:41
Andreas Behrens,---,591,---,760,35-39,43,---,DEU,---,---,00:47:44,1.9 km,00:05:18,02:47:21,90.1 km,00:03:14,02:18:59,21.1 km,06:02:36
Ashley Bell,---,543,---,400,30-34,38,---,AUS,---,---,00:41:53,1.9 km,00:04:47,02:39:22,90.1 km,00:02:18,02:27:58,21.1 km,05:56:18
David Bell,---,---,DNS,816,40-44,45,---,SGP,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Ian Bellhouse,---,---,DNS,1361,45-49,51,---,GBR,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Owen Belman,---,239,---,917,40-44,47,Intl State,USA,---,---,00:46:30,1.9 km,00:04:23,02:37:19,90.1 km,00:02:16,01:50:35,21.1 km,05:21:03
Cedric Beltrame,---,410,---,758,35-39,41,---,FRA,---,---,00:43:28,1.9 km,00:03:54,02:27:51,90.1 km,00:02:53,02:23:19,21.1 km,05:41:25
Michael Benedicto,---,568,---,448,30-34,36,Negros occidental,PHL,---,---,00:52:56,1.9 km,00:06:38,02:43:46,90.1 km,00:02:34,02:14:15,21.1 km,06:00:09
Peter Bennett,---,521,---,1172,40-44,46,---,GBR,---,---,01:04:59,1.9 km,00:04:41,02:32:00,90.1 km,00:01:58,02:10:31,21.1 km,05:54:09
Matthias Berger,---,627,---,573,30-34,39,---,AUT,---,---,00:53:59,1.9 km,00:06:12,02:41:48,90.1 km,00:03:07,02:23:29,21.1 km,06:08:35
Dale Berk,---,369,---,607,35-39,44,---,AUS,---,---,00:47:59,1.9 km,00:03:13,02:29:47,90.1 km,00:01:37,02:14:28,21.1 km,05:37:04
Paul Bethell,---,61,---,900,40-44,47,---,NZL,---,---,00:33:31,1.9 km,00:02:45,02:26:11,90.1 km,00:01:26,01:42:25,21.1 km,04:46:18
Arvind Bhateja,---,992,---,970,40-44,46,---,IND,---,---,01:06:38,1.9 km,00:03:52,03:08:28,90.1 km,00:02:38,02:31:42,21.1 km,06:53:18
Yannick Biegun,---,264,---,610,35-39,43,---,FRA,---,---,00:43:44,1.9 km,00:03:19,02:24:11,90.1 km,00:01:31,02:11:35,21.1 km,05:24:20
Ueli Bieler,---,15,---,20,PRO,35,---,CHE,---,---,00:37:43,1.9 km,00:02:24,02:10:50,90.1 km,00:01:10,01:24:39,21.1 km,04:16:46
Bartlomiej Bieniek,---,991,---,555,30-34,37,---,POL,---,---,00:54:54,1.9 km,00:04:59,02:53:41,90.1 km,00:02:39,02:57:05,21.1 km,06:53:18
Muhamad Hamim Bin Abdul Rahim,---,798,---,1178,40-44,---,Singapore,SGP,---,---,01:01:36,1.9 km,00:04:24,02:37:49,90.1 km,00:01:41,02:41:01,21.1 km,06:26:31
Clive Bingwa,---,147,---,369,35-39,39,WA,AUS,---,---,00:42:09,1.9 km,00:02:35,02:20:38,90.1 km,00:01:01,02:00:43,21.1 km,05:07:06
Kelvin Blacklock,---,336,---,1206,40-44,48,---,GBR,---,---,00:51:44,1.9 km,00:05:00,02:32:05,90.1 km,00:02:47,02:01:28,21.1 km,05:33:04
