name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Dario Abbondanzieri,---,1295,---,2362,40-44,47,---,ITA,---,---,00:44:14,1.9 km,00:05:10,03:43:00,90.1 km,00:04:56,02:14:18,21.1 km,06:51:38
Peter Acampora,---,638,---,1381,35-39,44,---,DEU,---,---,00:34:39,1.9 km,00:04:14,03:22:51,90.1 km,00:03:37,01:45:46,21.1 km,05:51:07
Johann Ackermann,---,---,DNF,34,PRO,32,DE,DEU,---,---,00:23:31,1.9 km,00:02:47,02:35:11,90.1 km,00:01:04,---,21.1 km,DNF
Tim Adolphs,---,351,---,1382,35-39,43,---,DEU,---,---,00:38:06,1.9 km,00:04:11,03:06:48,90.1 km,00:01:56,01:39:57,21.1 km,05:30:58
Thorsten Ahl,---,212,---,1633,35-39,40,---,DEU,---,---,00:33:07,1.9 km,00:04:46,03:00:22,90.1 km,00:02:59,01:34:19,21.1 km,05:15:33
Patrick Ahlert,---,1405,---,991,30-34,39,---,DEU,---,---,00:37:21,1.9 km,00:06:22,03:48:42,90.1 km,00:02:18,02:36:06,21.1 km,07:10:49
Sven Ahlheid,---,1250,---,992,30-34,38,DE,DEU,---,---,00:40:53,1.9 km,00:06:11,03:47:57,90.1 km,00:00:59,02:08:50,21.1 km,06:44:50
Mike Aigroz,---,7,---,15,PRO,38,CH,CHE,---,---,00:24:22,1.9 km,00:02:38,02:37:57,90.1 km,00:00:59,01:17:57,21.1 km,04:23:53
Michael Albert,---,515,---,993,30-34,34,DE,DEU,---,---,00:38:44,1.9 km,00:04:42,03:04:45,90.1 km,00:02:28,01:52:07,21.1 km,05:42:46
Heidi Albrecht,---,1528,---,101,55-59,61,---,DEU,---,---,00:43:39,1.9 km,00:12:03,04:33:17,90.1 km,00:03:50,02:29:37,21.1 km,08:02:26
Miguel Aldasoro,---,814,---,2363,40-44,45,---,ESP,---,---,00:36:09,1.9 km,00:06:31,03:19:33,90.1 km,00:02:18,01:59:21,21.1 km,06:03:52
Jörg Alex,---,1256,---,1751,45-49,53,---,DEU,---,---,00:35:12,1.9 km,00:05:21,03:44:48,90.1 km,00:00:54,02:19:43,21.1 km,06:45:58
Nathalie Alexander,---,702,---,102,18-24,27,AT,AUT,---,---,00:34:00,1.9 km,00:04:06,03:24:23,90.1 km,00:01:20,01:51:50,21.1 km,05:55:39
Miguel Almoril,---,850,---,1383,35-39,44,DE,DEU,---,---,00:39:43,1.9 km,00:06:57,03:15:38,90.1 km,00:02:04,02:02:12,21.1 km,06:06:34
Stefan Amiri,---,840,---,2364,40-44,48,---,DEU,---,---,00:36:20,1.9 km,00:04:53,03:13:04,90.1 km,00:02:12,02:09:39,21.1 km,06:06:08
Pieter Anciaux,---,1135,---,652,18-24,26,BE,BEL,---,---,00:38:04,1.9 km,00:06:15,03:29:03,90.1 km,00:01:59,02:14:31,21.1 km,06:29:52
