name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Sebastian Sanchez,30,7,35,428,35-39,40,Castries,ARG,---,3186,00:27:36,1.9 km,00:03:11,02:34:41,90.1 km,00:02:13,01:32:17,21.1 km,04:39:58
Loïc Lapeze,31,3,36,669,25-29,29,Intl State,FRA,---,3308,00:23:52,1.9 km,00:03:14,02:36:28,90.1 km,00:02:01,01:36:04,21.1 km,04:41:39
Mario Naranjo,32,8,37,635,35-39,38,---,CRI,---,3153,00:24:38,1.9 km,00:04:14,02:40:15,90.1 km,00:01:43,01:30:58,21.1 km,04:41:48
Andres Fonseca,33,4,38,538,25-29,32,N/A,GTM,---,3297,00:23:30,1.9 km,00:03:03,02:38:27,90.1 km,00:01:58,01:35:17,21.1 km,04:42:15
Rafael Falsarella,34,2,39,650,30-34,34,Intl State,BRA,---,3241,00:25:57,1.9 km,00:03:53,02:31:58,90.1 km,00:02:19,01:38:51,21.1 km,04:42:58
Reinaldo Rommel Porcino,35,9,40,415,35-39,38,---,BRA,---,3125,00:24:37,1.9 km,00:03:34,02:38:45,90.1 km,00:02:03,01:34:23,21.1 km,04:43:22
Jorge Herrera,36,10,41,379,35-39,39,FL,VEN,---,3107,00:24:35,1.9 km,00:03:34,02:37:17,90.1 km,00:02:09,01:36:47,21.1 km,04:44:22
Malcolm Provoost,37,11,42,695,35-39,38,---,---,---,3081,00:24:17,1.9 km,00:03:17,02:34:00,90.1 km,00:02:06,01:42:08,21.1 km,04:45:48
Tales Camargo Galbier,38,3,43,447,30-34,36,Rio de Janeiro,BRA,---,3180,00:29:41,1.9 km,00:04:06,02:35:50,90.1 km,00:01:59,01:34:45,21.1 km,04:46:21
Santiago Gutierrez,39,12,44,630,35-39,42,---,ECU,---,3040,00:30:37,1.9 km,00:04:26,02:42:29,90.1 km,00:02:28,01:28:05,21.1 km,04:48:05
Esteban Estrada,40,3,45,278,40-44,44,Intl State,MEX,---,3145,00:23:01,1.9 km,00:03:17,02:41:34,90.1 km,00:02:22,01:38:18,21.1 km,04:48:32
Brendan Wolters,41,4,46,519,30-34,33,CA,USA,---,3135,00:31:37,1.9 km,00:04:22,02:40:44,90.1 km,00:01:49,01:30:19,21.1 km,04:48:51
Terra Castro,6,6,47,39,PRO,36,VA,USA,---,2994,00:24:07,1.9 km,00:02:54,02:49:45,90.1 km,00:02:10,01:30:32,21.1 km,04:49:28
Richard Gonzalez,42,5,48,467,30-34,33,Intl State,PAN,---,3118,00:23:31,1.9 km,00:02:49,02:42:19,90.1 km,00:02:07,01:39:00,21.1 km,04:49:46
Armando Espinoza,43,4,49,276,40-44,47,HI,USA,---,3115,00:28:58,1.9 km,00:04:18,02:37:25,90.1 km,00:02:18,01:37:12,21.1 km,04:50:11
Juan Pablo Cano De Urquidi,44,5,50,666,25-29,28,Durango,MEX,---,3154,00:27:47,1.9 km,00:03:28,02:45:43,90.1 km,00:01:54,01:31:19,21.1 km,04:50:11
Pedro Trindade,46,5,52,621,40-44,42,TX,USA,---,3107,00:28:58,1.9 km,00:04:03,02:37:12,90.1 km,00:01:59,01:38:25,21.1 km,04:50:37
Melanie Mcquaid,7,7,53,33,PRO,43,BC,CAN,---,2942,00:22:26,1.9 km,00:02:28,02:47:33,90.1 km,00:01:45,01:38:07,21.1 km,04:52:19
Joaquin Ramos,47,6,54,555,25-29,---,---,ARG,---,3111,00:27:26,1.9 km,00:03:28,02:52:01,90.1 km,00:02:19,01:27:20,21.1 km,04:52:34
Rafael Pinho,48,6,55,500,30-34,36,ceara,BRA,---,3067,00:25:55,1.9 km,00:03:47,02:39:22,90.1 km,00:02:38,01:40:54,21.1 km,04:52:36
Todd Burns,49,6,56,608,40-44,45,TX,USA,---,3069,00:25:09,1.9 km,00:03:57,02:40:00,90.1 km,00:01:53,01:41:46,21.1 km,04:52:45
Nelson Odreman,50,7,57,493,30-34,37,---,VEN,---,3055,00:32:59,1.9 km,00:04:21,02:36:08,90.1 km,00:02:14,01:37:34,21.1 km,04:53:16
