name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Jeremy Mckenzie,33,4,37,402,35-39,40,NZ,NZL,---,3297,00:31:31,1.9 km,00:04:21,02:15:54,90.1 km,00:01:14,01:33:49,21.1 km,04:26:49
Jed Eden,34,5,38,365,35-39,37,NZ,NZL,---,3286,00:29:56,1.9 km,00:03:48,02:22:40,90.1 km,00:01:10,01:29:53,21.1 km,04:27:27
Mathieu Szalamacha,35,5,39,288,30-34,33,Sud,NCL,---,3365,00:29:03,1.9 km,00:03:35,02:22:27,90.1 km,00:01:25,01:32:32,21.1 km,04:29:02
Hayden Corkin,36,6,40,228,30-34,35,---,NZL,---,3350,00:26:52,1.9 km,00:04:03,02:28:35,90.1 km,00:01:26,01:28:58,21.1 km,04:29:54
Jeff Mcgrath,37,4,41,564,40-44,44,---,NZL,---,3310,00:30:38,1.9 km,00:04:01,02:25:28,90.1 km,00:01:43,01:28:07,21.1 km,04:29:57
Mike Roigard,38,5,42,589,40-44,43,NZ,NZL,---,3301,00:34:34,1.9 km,00:03:44,02:22:52,90.1 km,00:01:05,01:28:12,21.1 km,04:30:27
Russell Smith,39,1,43,1066,45-49,49,NZ,NZL,---,3500,00:27:58,1.9 km,00:03:47,02:24:54,90.1 km,00:01:20,01:32:48,21.1 km,04:30:47
Matt Merrick,40,6,44,403,35-39,38,---,NZL,---,3220,00:31:49,1.9 km,00:04:42,02:24:08,90.1 km,00:01:29,01:28:59,21.1 km,04:31:07
Sam Elstob,41,6,45,59,18-24,21,---,NZL,---,3128,00:27:30,1.9 km,00:03:30,02:25:14,90.1 km,00:01:36,01:33:33,21.1 km,04:31:23
Mike Wright,42,7,46,296,30-34,35,---,NZL,---,3317,00:29:15,1.9 km,00:04:09,02:25:54,90.1 km,00:01:35,01:30:51,21.1 km,04:31:44
Jason Nuttman,43,7,47,408,35-39,37,WA,AUS,---,3206,00:28:33,1.9 km,00:04:06,02:24:59,90.1 km,00:02:04,01:32:13,21.1 km,04:31:55
Geoff Williamson,44,8,48,435,35-39,37,NZ,NZL,---,3202,00:31:08,1.9 km,00:04:23,02:23:58,90.1 km,00:01:25,01:31:13,21.1 km,04:32:07
Lachlan Boyle,45,9,49,347,35-39,36,NZ,NZL,---,3170,00:36:09,1.9 km,00:04:15,02:23:44,90.1 km,00:01:02,01:28:44,21.1 km,04:33:54
Tom Bland,46,10,50,346,35-39,37,NZ,NZL,---,3158,00:31:07,1.9 km,00:03:56,02:29:33,90.1 km,00:01:17,01:28:41,21.1 km,04:34:34
Rebecca Elliott,5,1,51,172,25-29,28,---,NZL,---,3500,00:28:22,1.9 km,00:03:48,02:32:27,90.1 km,00:01:29,01:28:44,21.1 km,04:34:50
Tony Knaggs,47,8,52,251,30-34,32,NZ,NZL,---,3259,00:30:34,1.9 km,00:04:21,02:27:56,90.1 km,00:01:45,01:30:19,21.1 km,04:34:55
Tim Ford,48,3,53,122,25-29,30,NSW,AUS,---,3270,00:31:56,1.9 km,00:04:14,02:26:15,90.1 km,00:01:20,01:31:13,21.1 km,04:34:58
Ian Graham,49,6,54,1017,40-44,42,NZ,NZL,---,3217,00:32:03,1.9 km,00:04:16,02:25:10,90.1 km,00:01:14,01:32:23,21.1 km,04:35:06
Walter Thorburn,50,1,55,880,50-54,52,---,NZL,---,3500,00:30:31,1.9 km,00:04:14,02:22:55,90.1 km,00:01:12,01:36:17,21.1 km,04:35:09
Brent Healy,51,7,56,541,40-44,41,NZ,NZL,---,3215,00:32:57,1.9 km,00:04:17,02:23:40,90.1 km,00:01:27,01:32:50,21.1 km,04:35:11
Nick O'Dea,52,9,57,263,30-34,32,NZ,NZL,---,3254,00:30:31,1.9 km,00:04:12,02:29:28,90.1 km,00:02:18,01:28:43,21.1 km,04:35:12
Tineke Stewart,6,5,58,33,PRO,29,NZ,NZL,---,3176,00:30:08,1.9 km,00:03:25,02:28:27,90.1 km,00:01:10,01:32:20,21.1 km,04:35:30
Mervyn Hunger,53,11,59,381,35-39,39,NZ,NZL,---,3137,00:33:31,1.9 km,00:04:18,02:22:46,90.1 km,00:01:30,01:33:37,21.1 km,04:35:42
Ashleigh Williams,7,6,60,35,PRO,21,---,NZL,---,3170,00:29:30,1.9 km,00:03:33,02:32:36,90.1 km,00:01:24,01:28:45,21.1 km,04:35:48
Peter Kadar,54,10,61,1010,30-34,31,NZ,HUN,---,3242,00:26:53,1.9 km,00:03:49,02:29:56,90.1 km,00:01:42,01:33:33,21.1 km,04:35:53
Scott Furness,55,8,62,523,40-44,45,NZ,NZL,---,3193,00:29:11,1.9 km,00:05:06,02:30:49,90.1 km,00:02:13,01:29:06,21.1 km,04:36:25
