name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Andreas Dreitz,1,1,1,3,PRO,27,DE,DEU,---,3500,00:24:34,1.9 km,00:02:30,02:16:18,90.1 km,00:01:02,01:14:41,21.1 km,03:59:05
Lionel Sanders,2,2,2,69,PRO,28,ON,CAN,---,3476,00:26:13,1.9 km,00:02:50,02:20:39,90.1 km,00:01:21,01:09:20,21.1 km,04:00:23
Boris Stein,3,3,3,1,PRO,31,---,DEU,---,3470,00:26:32,1.9 km,00:02:24,02:17:45,90.1 km,00:00:57,01:13:04,21.1 km,04:00:42
Patrick Lange,4,4,4,7,PRO,30,---,DEU,---,3446,00:24:13,1.9 km,00:02:21,02:22:52,90.1 km,00:01:17,01:11:19,21.1 km,04:02:02
Steffen Justus,5,5,5,9,PRO,34,Intl State,DEU,---,3413,00:23:54,1.9 km,00:02:08,02:25:21,90.1 km,00:00:50,01:11:39,21.1 km,04:03:52
Rodolphe Von Berg,6,6,6,60,PRO,22,CO,USA,---,3362,00:24:14,1.9 km,00:02:43,02:26:09,90.1 km,00:00:59,01:12:40,21.1 km,04:06:45
Maurice Clavel,7,7,7,10,PRO,28,---,DEU,---,3350,00:24:11,1.9 km,00:02:24,02:24:41,90.1 km,00:00:59,01:15:09,21.1 km,04:07:24
Thomas Steger,8,8,8,53,PRO,24,AT,AUT,---,3347,00:24:27,1.9 km,00:02:52,02:20:59,90.1 km,00:01:27,01:17:48,21.1 km,04:07:33
William Clarke,9,9,9,27,PRO,31,Leicestershire,GBR,---,3320,00:24:17,1.9 km,00:02:30,02:26:22,90.1 km,00:01:02,01:14:52,21.1 km,04:09:03
Bart Aernouts,10,10,10,4,PRO,32,---,BEL,---,3320,00:26:36,1.9 km,00:02:23,02:23:39,90.1 km,00:01:05,01:15:20,21.1 km,04:09:03
Gregor Buchholz,11,11,11,13,PRO,30,Intl State,DEU,---,3313,00:24:12,1.9 km,00:02:28,02:30:49,90.1 km,00:01:04,01:10:54,21.1 km,04:09:27
Ivan Rana,12,12,12,16,PRO,37,ES,ESP,---,3294,00:24:12,1.9 km,00:02:20,02:30:38,90.1 km,00:01:08,01:12:12,21.1 km,04:10:30
Manuel Küng,13,13,13,70,PRO,29,CH,CHE,---,3249,00:23:59,1.9 km,00:02:47,02:26:00,90.1 km,00:01:02,01:19:11,21.1 km,04:12:59
Christopher Hettich,14,14,14,36,PRO,28,DE,DEU,---,3228,00:24:07,1.9 km,00:02:33,02:30:51,90.1 km,00:01:11,01:15:27,21.1 km,04:14:09
Christian Hoerper,15,15,15,37,PRO,29,DE,DEU,---,3209,00:26:32,1.9 km,00:02:34,02:30:21,90.1 km,00:01:07,01:14:40,21.1 km,04:15:14
Stenn Goetstouwers,16,16,16,34,PRO,24,BE,BEL,---,3194,00:24:32,1.9 km,00:02:49,02:29:43,90.1 km,00:01:07,01:17:54,21.1 km,04:16:05
Paul Schuster,17,17,17,15,PRO,27,DE,DEU,---,3186,00:24:31,1.9 km,00:02:28,02:29:13,90.1 km,00:01:07,01:19:11,21.1 km,04:16:30
Jeremy Jurkiewicz,18,18,18,38,PRO,28,FR,FRA,---,3165,00:23:57,1.9 km,00:02:31,02:30:39,90.1 km,00:01:07,01:19:26,21.1 km,04:17:40
