Rank,Overall,Competitor,Country,Age_Category,Swim,Trans1,Bike,Trans2,Run,Finish,Comment
1 ,18,BUROW Katrin,GER,"
M1
",02:27:01,--,12:00:15,--,11:15:09,25:42:25,--
2 ,28,KOLBOVA Sarka,CZE,"
M2
",02:40:06,--,14:06:12,--,12:02:55,28:49:13,--
3 ,35,COVIC Karla,CRO,"
M1
",03:11:18,--,15:23:25,--,13:32:01,32:06:44,--
--,--,HOLTON Lesli,USA,"
M2
",03:36:18,--,15:12:54,--,--,--,DNF
--,--,OLIVER Suraya,GBR,"
M2
",03:29:27,--,--,--,--,--,DNF
--,--,NOERGAARD FRIIS Sign,DEN,"
M1
",03:29:55,--,--,--,--,--,DNF
--,--,NESTOROVIC Valentina,SER,"
M1
",04:02:21,--,--,--,--,--,DNF
